--- Visible Top Level Windows ---
HWND: 00000000003E0920 | Class: GDI+ Hook Window Class | Text: GDI+ Window (AsusOSD.exe) | Visible: 0
HWND: 00000000000900C0 | Class: ThumbnailDeviceHelperWnd | Text:  | Visible: 1
HWND: 00000000000101B8 | Class: ForegroundStaging | Text:  | Visible: 0
HWND: 000000000001017C | Class: ForegroundStaging | Text:  | Visible: 0
HWND: 0000000000020466 | Class: DiscordDesktopOverlayInputTrap | Text: Discord Overlay Input Trap | Visible: 0
HWND: 0000000000010140 | Class: tooltips_class32 | Text:  | Visible: 0
HWND: 000000000004011E | Class: Shell_TrayWnd | Text:  | Visible: 1
HWND: 000000000001021E | Class: SystemTray_Main | Text: 電池計量表 | Visible: 0
HWND: 0000000000010276 | Class: ATL:00007FFA5856C050 | Text:  | Visible: 0
HWND: 0000000000010158 | Class: tooltips_class32 | Text:  | Visible: 0
HWND: 00000000004C04C6 | Class: tooltips_class32 | Text:  | Visible: 0
HWND: 0000000000100908 | Class: tooltips_class32 | Text:  | Visible: 0
HWND: 00000000003603F4 | Class: Chrome_WidgetWin_1 | Text: DynamicWallpaperSource - Antigravity - main.cpp | Visible: 1
HWND: 00000000006D0AFC | Class: EVRFullscreenVideo | Text: EVR Fullscreen Window | Visible: 0
HWND: 0000000000180B0C | Class: EVRFullscreenVideo | Text: EVR Fullscreen Window | Visible: 0
HWND: 0000000000280674 | Class: TaskManagerWindow | Text: 工作管理員 | Visible: 1
HWND: 000000000001016E | Class: ApplicationManager_DesktopShellWindow | Text:  | Visible: 0
HWND: 00000000000403C6 | Class: tooltips_class32 | Text:  | Visible: 0
HWND: 0000000000150024 | Class: CabinetWClass | Text: DynamicWallpaperSource - 檔案總管 | Visible: 1
HWND: 0000000000130940 | Class: tooltips_class32 | Text:  | Visible: 0
HWND: 000000000010039C | Class: TrayiconMessageWindow | Text:  | Visible: 0
HWND: 00000000000104EE | Class: Windows.UI.Core.CoreWindow | Text: 設定 | Visible: 1
HWND: 0000000000440572 | Class: PseudoConsoleWindow | Text:  | Visible: 0
HWND: 000000000005062C | Class: Windows.UI.Core.CoreWindow | Text: DesktopWindowXamlSource | Visible: 0
HWND: 00000000002905AC | Class: GDI+ Hook Window Class | Text: GDI+ Window (VCTIP.EXE) | Visible: 0
HWND: 00000000001A0396 | Class: .NET-BroadcastEventWindow.4.0.0.0.37a9c05.0 | Text: .NET-BroadcastEventWindow.4.0.0.0.37a9c05.0 | Visible: 0
HWND: 00000000001409B0 | Class: PseudoConsoleWindow | Text:  | Visible: 0
HWND: 00000000002808E0 | Class: Chrome_WidgetWin_0 | Text:  | Visible: 0
HWND: 0000000000040378 | Class: PseudoConsoleWindow | Text:  | Visible: 0
HWND: 000000000006040E | Class: Chrome_WidgetWin_0 | Text:  | Visible: 0
